Label,Description
Blair heads Hungary summit,Tony Blair address leaders conference centreleft leaders Hungarian capital Budapest
Sony looks Christmas tree,Americans go gadget shopping holiday season even oil prices go Sony execs say
Apple give stores Mini look,Mac maker big plans expand network retail outlets creating small versions stores
ERA Congratulates Nobel Peace Prize Winner,Environmental Rights ActionFriends Earth Nigeria ERAFoEN congratulated Kenya born Nobel Peace Prize winner Dr
Russian rocket carrying RussianUS crew blasts space station Canadian Press,Canadian Press BAIKONUR Kazakhstan AP Russian rocket carrying new RussianUS crew international space station lifted Baikonur cosmodrome Thursday
Asian Shares Hit Metals Tumble Oil Reuters,Reuters sharp slide global metalsmarkets hammered industrial mining stocks JFEHoldings BHP Billiton Thursday oil prices crawledback toward record highs
Petroleum naturalgas supply data due Thursday,SAN FRANCISCO CBSMW rally heatingoil futures fresh record gains natural gas first time four sessions pulled crude prices 1 barrel higher Wednesday
US may help ease cost Boeing terror insurance,Boeing soon may eligible buy US terrorism insurance belowmarket rates adding fuel debate Europe aircraftmaker subsidies
Patent case challenges Microsoft 39s 39AutoPlay 39,federal judge set December date patent suit challenging quotAutoPlay quot technology included recent versions Microsoft Windows
Israel suspends soldier girl shot 15 times,GAZA CITY Israeli army yesterday suspended platoon commander suspicion emptied ammunition clip 13yearold Palestinian girl close range already collapsed fire
Marshall carries W Va victory,senior quarterback rushed 110 yards threw touchdown even punted quick kick Mountaineers 39 3119 victory Connecticut last night
Accounting body delays rule expensing options,Bowing corporate pressure group sets standards US accounting industry yesterday postponed six months plan force companies expense employee stock options
Temasek May Buy Stakes Minsheng Bank Medco Expand Abroad,Temasek Holdings Pte 53 billion Singapore government fund may buy stakes China 39s first private bank Indonesia 39s biggest listed oil company steps investments abroad
Cardinals Outslug Astros Take Opening Game,NEW YORK Reuters Jim Edmonds hit threerun double key sixrun sixth inning St Louis Cardinals beat Houston Astros 107 opening game National League Championship Series Busch Stadium Wednesday
US moves final round,United States national soccer team revealed immediate longterm future 60 victory Panama last night
Twists give Game 3 added weight,NEW YORK nature American League Championship Series fundamentally changed turned supposed ankle tendinitis suffered Curt Schilling actually displaced ankle tendon
Thais 39bomb 39 south paper birds Muslim south,Around 50 Thai Air Force planes quotbombed quot largely Muslim south paper birds Sunday symbol peace restive region nearly 500 people killed since January
Bourses set losses Wall St falls FTcom,FTcom European equity markets poised opening losses Thursday following weak session Wall Street overnight caution likely ahead results Nokia leading mobile handset maker
Dual Internal Clocks Control Fruit Flies Study Reuters,Reuters Humans creatures withan internal biological clock Fruit flies two whichseparately control morning evening activity scientistssaid Wednesday
Thai minister says zoo 39s illegal orangutans moved,JAKARTABANGKOK DPA Thailand growing pressure repatriate 100 orangutans allegedly smuggled country Indonesia plans shift apes private zoo safe centre probably Chiang Mai minister said Thursday
Bell First Health soars 215 percent,Shares First Health Group Corp FHCCO Quote Profile Research rose 215 percent premarket trading Thursday rival Coventry Health Care Inc
Cost Cuts Boost Southwest Air Profit,Southwest Airlines LUV Thursday said thirdquarter earnings rose 12 percent due higher revenue better cost performance even though recordhigh fuel prices stung lowcost carrier
Russian Spacecraft Heads International Space Station,Russian Soyuz spacecraft carrying two Russian cosmonauts one American astronaut reached orbit blasting Baikonur cosmodrome Kazakhstan
Ruud double lifts Dutch,Amsterdam Goals either half Manchester United striker Ruud van Nistelrooy lifted Netherlands 31 win Finland European Group One qualifier 2006 World Cup Wednesday
Rescued Chinese hostage dies,southeast Pakistan one two Chinese hostages injured rescue operation died injuries military sources said Thursday
President Hu congratulates Sihamoni becoming king Cambodia,Chinese President Hu Jintao sent message Norodom Sihamoni Thursday congratulate election king Cambodia
New planes fly battle locusts,United Nations flying six aircraft combat swarms cropdevouring locusts west Africa
Bollywood actress Nirupa Roy dies,Bollywood actress Nirupa Roy dies heart attack home Mumbai Bombay aged 73
Vote Counting Begins Afghan Elections,KABUL Afghanistan Vote counting Afghanistans presidential election got way Thursday five days landmark vote meant cement new era stability two decades strife head AfghanUN
Gates Says Broadcast TV Model Faces Irrelevancy,Bill Gates predicts afuture entertainment industry traditionalbroadcast television rendered irrelevant positivevision however new better business models madepossible technology emerging
Dell rides wave consumer gadgets USATODAYcom,USATODAYcom Dell set Thursday conquer markets dominated Apple HewlettPackard others products include first small digital music player photo printer plasma TV
Stocks Seen Flat Earnings Pour,US stock futures pointed flat market open Thursday rush quarterly earnings reports painted mixed picture corporate profits amid lingering worries high price oil
Oil exports flow strike woes ease,general strike Nigeria raised fears oil supply world 39s seventhlargest exporter likely end first phase Thursday quotall going well quot union leaders said
Double dip,NEW YORK Maybe seem mere whistling Bronx pledges manager Terry Francona general manager Theo Epstein even Bostons 31 loss Game 2 Red Sox would somehow find way overcome possible loss Curt Schilling rest American League Championship Series
always something Sox,Forget Curse nonsense real ongoing issue Boston Red Sox fact eternally held hostage shall call quotGildas Law quot OK Roseanne Roseannadannas
Cant Hide Lying Face,search ultimate lie detector researchers turn thermal facial scans brain wiring eyeball tracking deception still well deceives Randy Dotinga
Sevenwicket Kumble destroys Australia,India 39s spin king Anil Kumble grabbed seven wickets 25 runs skittle world champions Australia 235 dramatic start second Test Thursday
Canada slips competitiveness rankings,Canada slipped 12th 15th position survey conducted World Economic Forum Canada 39s position declined five last six years despite efforts federal provincial governments
Diesels Hybrids Fated Wed,Two leading technologies used fuelefficient vehicles seem destined unite Industry experts say joining hybrid motors diesel engines would result greenest mainstream vehicles ever initial tests promising
Transport strike hits Netherlands,Public transport grinds halt Netherlands workers strike governments planned welfare cuts
Report Gretzky pondering move coaching,Mesa AZ Sports Network Phoenix Coyotes managing partner Wayne Gretzky considering move coaching ranks according published report
Flight Hong Kong Diverted UK,LONDON Oct 14 2004 Virgin Atlantic plane heading Hong Kong London diverted airport north London Thursday receiving bomb threat police said
Google Unveils Desktop Search Takes Microsoft,Google Inc GOOGO Quote Profile Research Thursday rolled preliminary version new desktop search tool making first move
Study Mobile phone use increases brain tumor risk,researchers say data based analogue phone usage may yield results digital phone usage
New bug found MySQL,Users increasingly popular opensource MySQL database may risk remote attacks due bug phpMyAdmin widely used Webbased MySQL administration tool
Yao Thrills Capacity Crowd First China NBA Game Reuters,Reuters Yao Mings Houston Rockets squeezedpast Sacramento Kings Thursday first NBA game tobe played China country fastgrowing basketballleague deems potential marketing mecca
US trade deficit balloons,Official figures show US trade deficit widened secondhighest level record August
Munro Morris Face NLCS Game 2,ST LOUIS Houston Astros put hopes pitcher untested postseason give Pete Munro ball start Game 2 NL Championship series Thursday one night dropping opener St
LIPPI LAMENTS LACK FIXTURES,Italy coach Marcello Lippi claimed frustrated Azzurri World Cup qualifiers new year 43 win Belarus saw Italians claim top spot Group Five
Update 1 Northwest Airlines Pilots Reach Deal,Northwest Airlines Corp pilots reached tentative agreement Thursday includes 265 million labor concessions Air Line Pilots Association said
NBA says plans change 3point shot despite NBDL ltbgtltbgt,NBA plans change rules 3point shot though proceed experiment developmental league field goals worth 2 points final five minutes regulation overtime
Season could Manninger,Austrian goalkeeper Alex Manninger could miss rest season dislocating shoulder Wednesday 39s World Cup qualifying draw Northern Ireland
AlAqsa mosque restriction lifted,Israel says restrict access alAqsa mosque compound Jerusalem Muslim holy month Ramadan begins Friday
Google Debuts DesktopSearch Tool,enables people retrieve Email Outlook Outlook Express documents Microsoft Office chat sessions AOL IM Web pages viewed Internet Explorer
Index RP institutions among cellar dwellers,countrys public institutions ranked sixth least effective world latest survey World Economic Forum WER measured capacity growth 104 economies year
FCC exempts fibertocurb sharing requirements,Federal Communications Commission Thursday voted allow incumbent telephone carriers sharing fibertothecurb deployments competitors prompting one incumbent announce accelerated fiber rollout
120m origami birds peace fall Thailand,120 million origami birds airdropped southern Thailand yesterday attempt quell Muslim insurgency led deaths 500 people year
Humax TiVo recorder aims prime time,companies target mainstream audiences lowcost combination digital video recorder DVD burner box
Update Intel shelves plans 4GHz Pentium 4,Intel Corp confirmed nearterm plans desktop processors reaches multicore era company release 4GHz version flagship Pentium 4 product decided instead realign engineers around companys new design priorities Intel spokesman said Thursday
Eli Lilly Cut 575 US Jobs,Eli Lilly Co LLYN Quote Profile Research said Thursday plans cut 575 jobs little 2 percent US workforce move streamline operations
LA city department fought user resistance,administrator Los Angeles municipal government explains department able turn user resistance police fire departments among others 11 million purchasing accounts payable system
Options expensing delay enoughsay US senators,group Republican senators vowed Thursday use closing days Congress year try stop accounting rulemakers requiring expensing stock options
God help us Yuvi replaces Akash,Team India think tank put foot mouth replacing specialist opener Akash Chopra ODI specialist Yuvraj Singh
UN chief urges European Union commit troops,United Nations secretarygeneral Kofi Annan appealed European Union play bigger role UN peacekeeping operations
SEC chief lashes reform opponents,WASHINGTON many business interests clinging failed status quo resisting necessary governance reforms government 39s top securities regulator said Thursday
NAB studying buyer interest Irish banks,SYDNEY National Australia Bank Ltd NAB Australia 39s biggest bank gauging buyer interest struggling Irish banks signalling prepared exit part European market
Microsoft Brings TV Xbox,October 14 2004 Microsoft set release Windows Media Center Extender Xbox midNovember device allow view recorded downloaded media content stored PC via Xbox
Red Sox Feeling Heat 02 Start ALCS AP,AP infield Fenway Park covered dirty white tarp dreary day Unless Boston Red Sox start winning soon gloom last winter Red Sox returned home Thursday losing first two games AL championship series Yankees New York workout began Boston announced ace Curt Schillings ailing ankle prevent pitching Game 5 perhaps rest postseason
Sun Micro Posts Narrower Quarterly Loss,SAN FRANCISCO Reuters Network computer maker Sun Microsystems Inc Thursday posted narrower quarterly loss revenue rose second consecutive quarter higher sales servers three years declines
Australia amp New Zealand,Amphibians leopard frogs salamanders threatened extinction homes dry new disease spreads possibly result global warming according new study Science magazine
Harvard Seeks Permission Clone Human Embryos Reuters,Reuters Harvard University researchers saidon Wednesday seeking permission use cloningtechnology make human stem cells
Netflix stock plummets buzz Amazoncom competition,LOS GATOS Calf Shares mailorder DVD rental company Netflix plunged today amid buzz Amazondotcom getting movie rental business
Intel Cancels Revamped Chip,Intel Corporation said Thursday canceling plans market faster version Pentium 4 chip personal computers focus products quotmore bang buck
California Ace Rose,Justin Rose firstever professional holeinone tough parthree 17th Forest Oaks confessed decent shot day
Italian Womans Veil Stirs Fashion Feud,case Muslim woman fined wearing veil created dispute involving politicians civil rights groups fashion designer
Jewish state fears world isolation,internal report prepared Israel 39s foreign ministry paints gloomy picture future country 39s global standing giving warning coming decade could
Sun Reports Smaller Loss Calls Turnaround,struggled increase sales cut costs Sun Microsystems managed reduce net loss first quarter 174 million
Intel Cancels Revamped Chip,Intel Corporation said canceling plans market faster version Pentium 4 chip focus products bang buck
3 Miami Stops 18 Louisville 4138 AP,AP Louisville Cardinals drew flag excessive celebration second quarter another third Miami displays jubilation premature Led Brock Berlin Devin Hester thirdranked Hurricanes erased 17point deficit final 20 minutes came behind twice fourth quarter beat 18 Louisville 4138 Thursday night
US Impressive World Cup Qualifying AP,AP United States stormed regional qualifying next World Cup mean Americans world soccer power
Australian guilty backpacker murder,Australian Ian Previte found guilty Queensland jury murdering 19yearold British backpacker Caroline Stuttle 2002 threw bridge botched attempt steal handbag
Recordsmashing Warne leaves Murali behind,Madras Australian legspinner Shane Warne may shown flashes genius India still plenty reasons smile smashing Test cricket bowling record Madras Friday
Warne 39s career,1992 Makes Test debut India January two Tests India overall figures 1228 Australian wicketkeeper Rod Marsh invites return Adelaide Academy career
Glazer bid Old Trafford falls flat,Malcolm Glazer 39s bid Manchester United dead water major shareholders John Magnier JP McManus told American basis deal
Spitzer Targets Brokers,Thursdays actions first shots Spitzer called investigation widespread corruption insurance industry
Pakistan hunts kidnappers leader,Pakistan vows track former Guantanamo inmate leads group kidnapped two Chinese engineers
Vote counting begins Afghan election,KABUL Afghanistan Vote counting started yesterday Afghanistans landmark election widely expected install USbacked interim leader Hamid Karzai warravaged countrys first popularly chosen president
Poland Reduce Number Troops Iraq Reuters,Reuters Poland said Friday plans reducethe number troops Iraq early next year willnot remain hour longer sensible
RSS Feeds Hunger Ads,Theres thing free lunch soon may thing adfree RSS feed either publishers add advertisements feeds hopes making money popular contentaggregating technology Cyrus Farivar
Spawn X Prize Horizon,Innovators take note folks behind X Prize vow soon competitions several disciplines Also da Vinci team presses ahead Canada Rubicon team plans another launch attempt Dan Brekke
Schilling start Game 5 ALCS,39s state Boston Red Sox pitching rotation Schilling scratched scheduled Game 5 start sore ankle
IBM launches topend Power5 servers,IBM expanded top end eServer range three multipleprocessor systems aimed datacentres large enterprise clients
Bush Kerry Start Last Campaign Dash Nevada Reuters,Reuters President Bush Democratic SenJohn Kerry began 19day sprint Nov 2 election onThursday swing state Nevada White Houserivals renewed fight offered best leadershipfor middle class
Red Sox need Arroyo,Game 3 tonight Fenway Park rain forecast Boston learns Schilling may done postseason RONALD BLUM ASSOCIATED PRESS WRITER
Despite Discord Biffle Busch remain teammates,Mears wins Busch pole Lowe 39s Casey Mears second Busch series pole career earning top starting position qualifying SpongeBob 300
Scientists Prepare Huygens Plunge Titan,UC Berkeley Jan 14 2005 Huygens probe plow orange atmosphere Saturns moon Titan becoming first spacecraft attempt land moon solar system since Soviet Unions Luna 24 touched Earths moon 1976
Pfizer Hikes Warning Bextra Skin Risk,NEW YORK Reuters Pfizer Inc ltA HREFhttpwwwinvestorreuterscomFullQuoteaspxtickerPFEN targetstocksquickinfofullquotegtPFENltAgt said Friday sending additional information healthcare professionals arthritis drug Bextra COX2 product class withdrawn drug Vioxx
Israel Says Scale Back Gaza Offensive,JABALYA REFUGEE CAMP Gaza Strip Reuters Israel said Friday easing crushing offensive killed 100 Palestinians since tanks rumbled northern Gaza 16 days ago stop crossborder rocket attacks
September Retail Sales 15 Percent,WASHINGTON Shoppers got buying groove back last month propelling sales nations retailers strong 15 percent best showing since March
Shoppers return September sales 15,Shoppers last month propelling sales nation 39s retailers strong 15 best showing since March sizable gain reported Commerce Department Friday came
NFL Preview Another streak mark looming Patriots,final 11 minutes RamsSeahawks game last week Seattle 39s visit New England Sunday looked like one overhyped matchups labelled quotSuper Bowl Preview quot quotStreakEnder
Desert turns Parks place,Annika Sorenstam may reigning queen LPGA Tour Grace Park seems royalty desert days
Earthquake sea gives Taiwan jolt,TAIPEI strong earthquake Pacific Taiwan rocked island 39s northeast Friday damaging buildings injuring several people officials said
Oil Falls Record Concern High Prices May Slow Growth,Crude oil fell yesterday 39s record 5488 barrel New York amid concern sustained high prices may slow economies reduce demand energy
Delta Sees Much Wider 3rdQtr Loss,NEW YORK Reuters Delta Air Lines Inc ltA HREFhttpwwwinvestorreuterscomFullQuoteaspxtickerDALN targetstocksquickinfofullquotegtDALNltAgt Friday forecast much wider thirdquarter loss Wall Street estimated citing weak domestic fares spike fuel costs sending shares nearly 6 percent
India Russia must work together new tech Putin,BANGALORE DEC 5 Russian President Vladimir Putin called upon India Russia work together innovative technologies younger generation taking lead
ATA temporarily lay 156 employees,INDIANAPOLIS ATA Airlines announced temporary layoffs Thursday throughout system amid speculation struggling airline merger talks
WEEK 6 Pregame show hits road SeattleNew England,Every week experts FOX NFL Sunday candidly reveal observations make opinions known prepare toprated pregame telecast seen Sunday 12 pm ET 9 PT
United seek cuts labor elsewhere,United Airlines says 39ll need even labor cuts anticipated get bankruptcy United told bankruptcy court judge Chicago today intends start talks unions next month new round cost savings
Oil rallies new record high,Crude oil futures rallied late Friday new record high 5490 day decline US inventory heating oil roiled market already edge tight supplies high demand unrest among key producers
Deal would cut United 39s Chicago airport debt,Bankrupt United Airlines stands erase 75 percent obligation pay 600 million debt issued projects Chicago 39Hare International Airport hub deal would leave bondholders 60 cents
NAME,Department Dualing Rhetoric story regarding launch two new IBM pSeries servers Newscom 39s Stephen Shankland quotes IBM Unix vice president Karl Freund saying quotOur goal beat Sun perhaps become
Demand Oil Exceeds Forecasts,Oil demand rising faster predicted year OPEC pumps lowquality oil failed bid reduce record prices according International Energy Agency adviser 26 industrialized nations
Bovina upsets Williams Kremlin Cup,Unseeded Elena Bovina upset errorprone Venus Williams 63 62 Friday advance Kremlin Cup semifinals Bovina 19 playing third semifinal season
Dell unveils holiday lineup including new plasma TVs,OCTOBER 15 2004 IDG NEWS SERVICE Dell Inc took wraps holiday lineup Thursday showing new printers plasma televisions music players soon available Web site
Security Council group named,UN chosen Argentina Denmark Greece Japan Tanzania five states become nonpermanent members Security Council next year
Islamic teacher charged bombings,reputed spiritual leader Indonesian terrorist network charged orchestrating bombing Bali nightclub Jakarta hotel
Insurance Probe Rattles Stocks,NEW YORK Reuters investigation US insurers brokers rattled insurance industry stocks second day Friday investors shaken subpoenas delivered top US life insurer struggled gauge deep probe might reach
Kerry Campaign Seeks Equal Time Film AP,AP Sen John Kerrys presidential campaign contending Sinclair Broadcast Group wants help President Bush airing antiKerry documentary two weeks election asked Friday station carrying program provide similar amount time Kerry supporters
Russias Red Army Fetes Pope Eve Anniversary,VATICAN CITY Reuters Russias Red Army chorus orchestra Friday feted Pope John Paul mark 26th anniversary Roman Catholic leader event unthinkable 15 years ago fall Soviet Union
Pakistani leader arrives talks,Pakistani President General Pervez Musharraf arrived Britain visit include talks Prime Minister Tony Blair
Microsoft Issues IE Patch,Article Central Microsoft released October batch security advisories week number quotcritical quot patches including significant fix Internet Explorer browser
Chance Chiron Vaccine US Says,WASHINGTON Reuters None Chiron Corps flu vaccine made British plant safe means US flu vaccine supply half expected US health officials said Friday
Minaya Shakes Mets Coaching Staff,NEW YORK Oct 13 2004 Mets general manager Omar Minaya shook New York 39s coaching staff Wednesday continuing search manager replace Art Howe
Many Airline Pilots Thrill Gone,pilots still feel command air increasingly feeling slighted ground airlines extract salary benefits concessions
Video game leaked Internet,Halo 2 one anticipated video games year got early release date way fans publisher Microsoft hoped
Virender Sehwag turns 133,Virender Sehwag 39s smashing century spurred India second test match Friday Australian legspinner Shane Warne surged top test cricket 39s alltime wickettakers dismissing Irfan Pathan 533rd wicket
Hanging fingertips,JAMAICA 39S BID place 2006 World Cup finals suffered major setback Wednesday night picked one point El Salvador National Stadium
Downer welcomes terror charge,federal government welcomed bringing formal terrorism charges Indonesian militant cleric Abu Bakar Bashir spokesman Foreign Minister Alexander Downer said charges reflected
Blockbuster Cuts Online Price Challenges Netflix Reuters,Reuters Video chain Blockbuster Inc onFriday said would lower price online DVD rentalsto undercut similar move Netflix Inc sparked stocka selloff companies shares
Great White Shark Loses Monitor Tag AP,AP great white shark tagged datagathering device shallow waters Cape Cod apparently reclaimed privacy
39Do die 39 cashtight Delta,Struggling Delta Air Lines 39 latest financials show cash hand dipped point analysts say must decide file bankruptcy
GM trims earnings projection year,Kicking promises dismal round automotive earnings reports General Motors yesterday laid range problems ready solutions slowdown autosales growth China recordhigh steel costs intractable
IBM 39s HighEnd Power5 Servers Catch HP,IBM Friday introduced highend servers pSeries iSeries lines include virtualization features raw power experts say put products par offerings rival HewlettPackard Co
Different time different team,325 left third quarter score 330 79406 fans Doak Campbell Stadium Tallahassee Fla long since stopped worrying outcome
Tensions surge Haiti,PORTAUPRINCE Haiti Heavy gunfire erupted yesterday police streamed slum stronghold ousted President JeanBertrand Aristide
Jennings charge,CAPE TOWN Ray Jennings appointed interim coach South Africa 39s national cricket side yesterday afternoon following resignation earlier underfire Eric Simons
Playing traumas war,games based Vietnam conflict making us immune realities history
Jimenez ends Langer 39s Match Play bid,Spain 39s Miguel Angel imenez completed 2 amp1 victory German Bernhard Langer delayed World Match Play Championship quarterfinal Wentworth Saturday
Gaza CleanUp Operation Israeli Withdrawal,Palestinians retrieved belongings rubble dozens homes work crews patched roads water pipes today aftermath Israels 17day military offensive deadliest Gaza Strip four years fighting
sitting well Mientkiewicz,Since arrival Boston trading deadline Doug Mientkiewicz bought Red Sox team concept accepting role defensive replacement
Warne takes six India establish handy lead Reuters,Reuters World test wicket record holder Shane Warne grabbed six wickets India established handy 141run first innings lead second test Saturday
Rugby Kiwis earn draw,New Zealand hold Australia 1616 first game 2004 TriNations series
Jimenez ends Langer 39s challenge 35th,Miguel Angel Jimenez ended strong challenge Ryder Cup captain Bernhard Langer 35th hole Saturday earn semifinal place World Match Play Championship
Pfizer Sends Update Drug Bextra,Pfizer Inc said Friday provide healthcare professionals additional information Bextra arthritis drug conduct studies confirm drug 39s longterm cardiovascular safety record
Iran Rejects Deal End Uranium Enrichment,TEHRAN Reuters Iran said Saturday would reject proposal halt uranium enrichment step European Union diplomats proposing end row whether Iran seeking atomic weapons
Iran shun Europe nuclear deal,Iran says reject European proposal requires halt nuclear activities completely
39s plain Rain helps Red Sox Boston thinks gained edge ltbgtltbgt,Boston Red Sox got hopedfor rain Friday deluge things looking Boston postponement Pedro Martinez may pitch Game 5 another development 21game winner Curt Schilling back
14 dead Kashmir violence,NEW DELHI Fourteen people killed Kashmir increase violence since visit Indian prime minister midNovember
American shoppers splurge September,WASHINGTON AFP Shoppers dynamo US economy shrugged rising energy prices splurged malls car showrooms September government report showed
England sweeps Zims,England swept oneday series Zimbabwe 40 74run win Bulawayo Veteran Darren Gough took 434 Zimbabwe bowled 187 chasing 262 victory
One dead Romanian bear rampage,brown bear kills one person wounds several Transylvanian forests Romania
Britain Ups AntiTerror Security Spending AP,AP Sept 11 attacks America forced Prime Minister Tony Blairs government ponder troubling question Could terrorists pull something similar even worse London another big British city answer concluded yes
Kerrys wife paid 798820 dollars state federal taxes 2003 AFP,AFP Teresa Heinz Kerry wife Democratic presidential candidate John Kerry declared 2291137 dollars gross taxable income 2003 paid 798820 dollars state federal taxes 35 percent office said statement
Column stop genocide Sudan,time world leaders people claim knew nothing tens thousands murders black Africans massive gang rapes Darfur perpetrated Arab Janjaweed
FDA Orders Strong Antidepressant Warning Labels,DIEDTRA HENDERSON WASHINGTON AP Food Drug Administration Friday ordered antidepressants carry black box warnings increase risk suicidal thinking behavior children take Patients parents given medication guides include warning new prescription refill
Powell discuss NKorea visit Japan China SKorea next week AFP,AFP US Secretary State Colin Powell visit Japan China South Korea beginning next week talks stalled effort end impasse North Koreas nuclear program Iraq terrorism matters State Department said
Sudan Questions Darfur Deaths Figures,Sudan Saturday questioned UN estimates 70000 people died hunger disease remote Darfur region since rebellion began 20 months ago
Kerry reverse stem cell policy,US presidential candidate John Kerry says make stem cell research priority dropping George Bushs policy
Yao Rested Ready Kings AP,AP Yao Ming refreshed demanding days hometown first NBA game China Houston Rockets center time unwind since arriving Beijing
Palestinians Sift Rubble Israels Gaza Assault,JABALYA REFUGEE CAMP Gaza Strip Reuters Palestinians sifted rubble dozens homes sprawling refugee camp Saturday Israel ended powerful assault Gaza Strip four years bloodshed
UPDATE 1Juninho target Celtic beat Hearts 30,Brazilian midfielder Juninho scored first goal Celtic 30 drubbing Hearts gave champions eightpoint lead top Scottish Premier League Saturday
Bush Kerry Trade Barbs Fla Ohio,DAYTONA BEACH Fla presidential candidates found new ways go negative Saturday President Bush accusing Democratic challenger putting politics ahead war terror Sen
Astros 5 Cardinals 2,Roger Clemens hopped mound pumped right fist muttered way dugout work done Houston Astros exactly wanted right back NL championship series
Astronauts arrive space station,RUSSIAN spacecraft delivered three astronauts International Space Station overcoming docking system problems delayed launch
Alabama Upsets 24 Southern Miss 273 AP,AP Kenneth Darby rushed 197 yards scored two touchdowns one run one pass Alabama beat 24 Southern Mississippi 273 Saturday first win ranked opponent nearly two years
Els Eases Final,Defending champion Ernie Els beat Padraig Harrington 5 4 yesterday move final World Match Play Championship
Libya hosts 39minisummit 39 Sudan 39s Darfur conflict,TRIPOLI Libya Libya confirmed leaders Sudan Egypt Chad Nigeria would join Moammar Gadhafi quotminisummit 39 39 Sunday Sudan 39s Darfur region United Nations calls world 39s worst humanitarian crisis
Rocket wills Astros win,Houston Roger Clemens enough chew Saturday morning sat Astros 39 clubhouse walks owner Drayton McLane say quotgood luck quot quotgo get 39em quot tell Clemens quotThis got
NCAA Game Summary Virginia Florida State,Booker carried ball 15 timesChris Rix closed game Florida State completing pass three yards fourthVirginia guard Elton Brown left game apparent injury return catching deflected
Powell Japan US Troops NKorea Agenda,Secretary State Colin Powell visit Tokyo two days next weekend discuss security trade well stalled talks aimed ending North Korea 39s nuclear ambitions Japanese officials said Sunday
EU talk asylum plans,Key EU interior ministers meet Florence discuss plans migrant holding centres outside Europe
Sharon Hold Tense Meeting Settlers,JERUSALEM year avoiding Jewish settlers Israeli Prime Minister Ariel Sharon decided directly confront former supporters meeting contentious plan withdraw Gaza Strip part West Bank Sharon invited settler leaders meet Jerusalem Sunday week presents disengagement plan parliament
Blair put British troops US control,Critics Iraq war slammed prime minister following decision allow British troops move dangerous territory around Baghdad US military command
Late fumble dooms Purdue,WEST LAFAYETTE Ind Scott Starks returned fumble Purdue quarterback Kyle Orton 40 yards touchdown closing minutes lift 10thranked Wisconsin 2017 win 5 Purdue yesterday
Tigers right target,AUBURN Ala Jason Campbell passed careerhigh 297 yards three touchdowns lead 4 Auburn 3820 rout Arkansas yesterday
Phony bids put insurance firm real trouble,Greenville County South Carolina borrowed 800 million two years ago expand public schools insurance broker Marsh amp McLennan Cos
Report tape trainer says Bonds used drug 03,SAN FRANCISCO Slugger Barry Bonds took undetectable performanceenhancing drug 2003 season weight trainer said secretly recorded tape San Francisco Chronicle reported yesterday
Lowe finally go,fitting three games none season deathbed Red Sox pitch Derek Lowe
Bullying ZCU cleared racism,Zimbabwe 39s international playing future hangs balance Zimbabwe Cricket Union cleared racism International Cricket Council
Sports Network Carlos Beltran may newest Killer B ltbgtltbgt,lineup right also feared hitter Astros 39ll play St Louis Cardinals Game 4 today Minute Maid Park
Deco keeps Barca flying high Ronaldo rescues Real,Brazilians bagged plaudits Spain 39s La Liga Saturday Deco Brazilborn naturalised Portuguese international fired Barcelona five points clear pack goal derby win Espanyol
Halloween Means Sales Adults Join,NEW YORK Reuters Halloween expected scare record sales year adults pets join mainly childrens dressup event filling void key Christmas shopping season
Davydenko tops Davis Cup 39mate Youzhny,MOSCOW Nikolay Davydenko overcame leg cramps beat Russian Davis Cup teammate Mikhail Youzhny tough Kremlin Cup semifinal 75 67 75 Saturday
UPDATE 2CricketMalik reported suspect action,CricketICC clears Zimbabwe Cricket Union racism October 17 2004 140537 LAHORE Pakistan Oct 17 Reuters special report International Cricket Council ICC inquiry commission ruled evidence racism within
Pakistan says give extra security Chinese,Pakistan provide extra security Chinese working country pursue former Guantanamo Bay inmate masterminded abduction two Chinese engineers interior minister said Saturday
Newcastle held draw Charlton,London England Sports Network Charlton continued strong play home coming behind tie Newcastle Sunday 11 Alan Curbishley 39s team unbeaten Valley five matches season winning three times
Sun posts narrower quarterly loss,OCTOBER 14 2004 REUTERS SAN FRANCISCO Sun Microsystems Inc today posted narrower quarterly loss revenue rose year year second consecutive quarter three years declines sending shares slightly higher
NFL Game Summary San Diego Atlanta,Atlanta GA Michael Vick ran score threw touchdown pass fourth quarter Atlanta rallied defeat San Diego 2120 Georgia Dome
Testing 39t curtail homers,39s time fess among hordes skeptics sheep boldly proclaimed drugtesting would blow hole number runs home runs 39d see 2004
REGION Iran sticks right possess nuclear fuel ltbgtltbgt,TEHRAN Iran repeated Sunday right master sensitive nuclear fuel cycle ahead expected proposal Europe calling Tehran abandon work exchange diplomatic trade incentives
Florida 39s prepaid tuition program thriving,Already biggest kind country Florida 39s popular prepaidtuition program expects count millionth customer signup period runs Monday Jan 31
IBM Releasing New Power5Based Servers,RESEARCH TRIANGLE PARK IBM rolling new line Power5processor based servers says outperform rivals Sun HP
Garcia throws four TD passes Cleveland 39s 3417 win ltbgtltbgt,CLEVELAND CP Chad Johnson better still bottles pink stomach medicine Cincinnati Bengals look pretty sick
Geiberger joins father winner Greensboro,Brent Geiberger made final putt finally got talk father Al latest achievement
Toughest athlete female unknown,probably havent heard one toughest endurance sports around decaironman Thats 38 km swimming immediately followed 1800 km bicycle ride 420 km run Currently world record stands 187 hours held German housewife Nobody else ever finished course 192 hours
